year,state,state_code,county,candidate,party,candidate_votes,total_votes
2012,California,CA,Yuba,Barack Obama,democrat,7711.0,19700
2012,California,CA,Yuba,Mitt Romney,republican,11275.0,19700
2012,Colorado,CO,Adams,Barack Obama,democrat,100649.0,176230
2012,Colorado,CO,Adams,Mitt Romney,republican,70972.0,176230
2012,Colorado,CO,Alamosa,Barack Obama,democrat,3811.0,6715
2012,Colorado,CO,Alamosa,Mitt Romney,republican,2705.0,6715
2012,Colorado,CO,Arapahoe,Barack Obama,democrat,153905.0,285516
2012,Colorado,CO,Arapahoe,Mitt Romney,republican,125588.0,285516
2012,Colorado,CO,Archuleta,Barack Obama,democrat,2679.0,6734
2012,Colorado,CO,Archuleta,Mitt Romney,republican,3872.0,6734
2012,Colorado,CO,Baca,Barack Obama,democrat,467.0,2106
2012,Colorado,CO,Baca,Mitt Romney,republican,1559.0,2106
2012,Colorado,CO,Bent,Barack Obama,democrat,815.0,1942
2012,Colorado,CO,Bent,Mitt Romney,republican,1075.0,1942
2012,Colorado,CO,Boulder,Barack Obama,democrat,125091.0,179499
2012,Colorado,CO,Boulder,Mitt Romney,republican,49981.0,179499
2012,Colorado,CO,Broomfield,Barack Obama,democrat,16966.0,32777
2012,Colorado,CO,Broomfield,Mitt Romney,republican,15008.0,32777
2012,Colorado,CO,Chaffee,Barack Obama,democrat,5086.0,10462
2012,Colorado,CO,Chaffee,Mitt Romney,republican,5070.0,10462
2012,Colorado,CO,Cheyenne,Barack Obama,democrat,172.0,1093
2012,Colorado,CO,Cheyenne,Mitt Romney,republican,889.0,1093
2012,Colorado,CO,Clear Creek,Barack Obama,democrat,3119.0,5743
2012,Colorado,CO,Clear Creek,Mitt Romney,republican,2430.0,5743
2012,Colorado,CO,Conejos,Barack Obama,democrat,2213.0,4101
2012,Colorado,CO,Conejos,Mitt Romney,republican,1835.0,4101
2012,Colorado,CO,Costilla,Barack Obama,democrat,1340.0,1837
2012,Colorado,CO,Costilla,Mitt Romney,republican,446.0,1837
2012,Colorado,CO,Crowley,Barack Obama,democrat,535.0,1502
2012,Colorado,CO,Crowley,Mitt Romney,republican,924.0,1502
2012,Colorado,CO,Custer,Barack Obama,democrat,868.0,2715
2012,Colorado,CO,Custer,Mitt Romney,republican,1788.0,2715
2012,Colorado,CO,Delta,Barack Obama,democrat,4622.0,15925
2012,Colorado,CO,Delta,Mitt Romney,republican,10915.0,15925
2012,Colorado,CO,Denver,Barack Obama,democrat,222018.0,301694
2012,Colorado,CO,Denver,Mitt Romney,republican,73111.0,301694
2012,Colorado,CO,Dolores,Barack Obama,democrat,334.0,1245
2012,Colorado,CO,Dolores,Mitt Romney,republican,859.0,1245
