Location,total_votes,2000_republican_votes,2000_democrat_votes
"Illinois, Morgan",14334,8058,5899
"Illinois, Moultrie",5725,3058,2529
"Illinois, Ogle",20601,12325,7673
"Illinois, Peoria",76812,36398,38604
"Illinois, Perry",9942,4802,4862
"Illinois, Piatt",8385,4619,3488
"Illinois, Pike",8112,4706,3198
"Illinois, Pope",2330,1346,927
"Illinois, Pulaski",3016,1430,1518
"Illinois, Putnam",3179,1437,1657
"Illinois, Randolph",14287,7127,6794
"Illinois, Richland",7428,4718,2491
"Illinois, Rock Island",65095,25194,37957
"Illinois, St. Clair",100393,42299,55961
"Illinois, Saline",11650,5933,5427
"Illinois, Sangamon",91485,50374,38414
"Illinois, Schuyler",3772,2077,1587
"Illinois, Scott",2469,1458,954
"Illinois, Shelby",10163,5851,4018
"Illinois, Stark",2989,1694,1211
"Illinois, Stephenson",19378,10715,8062
"Illinois, Tazewell",58348,31537,25379
"Illinois, Union",8660,4397,3982
"Illinois, Vermilion",32100,15783,15406
"Illinois, Wabash",5508,3406,1987
"Illinois, Warren",7631,3899,3524
"Illinois, Washington",7138,4353,2638
"Illinois, Wayne",7693,5347,2209
"Illinois, White",7637,4521,2958
"Illinois, Whiteside",24837,11252,12886
"Illinois, Will",191670,95828,90902
"Illinois, Williamson",26939,14012,12192
"Illinois, Winnebago",109297,53816,51981
"Illinois, Woodford",16793,10905,5529
"Indiana, Adams",12590,8555,3775
"Indiana, Allen",114320,70426,41636
"Indiana, Bartholomew",25769,16200,9015
"Indiana, Benton",3874,2441,1328
"Indiana, Blackford",4893,2699,2103
"Indiana, Boone",18396,13161,4763
"Indiana, Brown",6817,3871,2608
"Indiana, Carroll",8268,5102,2965
"Indiana, Cass",15106,9305,5412
"Indiana, Clark",37336,19417,17360
"Indiana, Clay",10158,6393,3605
"Indiana, Clinton",10991,7141,3643
"Indiana, Crawford",4209,2327,1817
"Indiana, Daviess",9761,6872,2697
"Indiana, Dearborn",17650,11452,6020
"Indiana, Decatur",9171,6115,2889
"Indiana, DeKalb",13785,8701,4776
"Indiana, Delaware",44147,22105,20876
"Indiana, Dubois",15504,10134,5090
"Indiana, Elkhart",54482,36756,16402
"Indiana, Fayette",8647,5060,3415
"Indiana, Floyd",30030,16486,13209
"Indiana, Fountain",7281,4408,2717
"Indiana, Franklin",8339,5587,2591
"Indiana, Fulton",8327,5218,2960
"Indiana, Gibson",13772,7734,5802
"Indiana, Grant",26386,16153,9712
"Indiana, Greene",12619,7452,4898
"Indiana, Hamilton",75926,56372,18002
"Indiana, Hancock",22950,15943,6503
"Indiana, Harrison",14896,8711,5870
"Indiana, Hendricks",40221,28651,10786
"Indiana, Henry",18315,10321,7647
"Indiana, Howard",34095,20331,12899
"Indiana, Huntington",14620,10113,4119
"Indiana, Jackson",14602,9054,5330
"Indiana, Jasper",11167,7212,3744
"Indiana, Jay",8030,4687,3167
"Indiana, Jefferson",11931,6582,5117
