Location,Total_Votes_2016,2016_republican_votes,2016_democrat_votes
"Georgia, Twiggs",4059,2035,1971
"Georgia, Union",12063,9852,1963
"Georgia, Upson",10934,7292,3475
"Georgia, Walker",23956,18950,4215
"Georgia, Walton",40698,31125,8292
"Georgia, Ware",12184,8513,3440
"Georgia, Warren",2334,991,1314
"Georgia, Washington",8461,4149,4200
"Georgia, Wayne",10413,8153,2041
"Georgia, Webster",1116,630,473
"Georgia, Wheeler",2102,1421,646
"Georgia, White",11823,9761,1674
"Georgia, Whitfield",30658,21537,7937
"Georgia, Wilcox",2976,2096,852
"Georgia, Wilkes",4486,2572,1848
"Georgia, Wilkinson",4287,2333,1894
"Georgia, Worth",8295,6152,2020
"Hawaii, Hawaii",64867,17501,41259
"Hawaii, Honolulu",285790,90326,175696
"Hawaii, Kauai",26335,7574,16456
"Hawaii, Maui",51945,13446,33480
"Idaho, Ada",195669,93752,75677
"Idaho, Adams",2183,1556,415
"Idaho, Bannock",33416,17180,10342
"Idaho, Bear Lake",2928,2203,255
"Idaho, Benewah",4185,3103,770
"Idaho, Bingham",16625,10907,2924
"Idaho, Blaine",10724,3340,6416
"Idaho, Boise",3814,2673,777
"Idaho, Bonner",20943,13343,5819
"Idaho, Bonneville",44221,26699,8930
"Idaho, Boundary",5163,3789,933
"Idaho, Butte",1230,914,160
"Idaho, Camas",590,410,110
"Idaho, Canyon",72785,47222,16883
"Idaho, Caribou",3035,2275,271
"Idaho, Cassia",8178,5949,1036
"Idaho, Clark",283,203,44
"Idaho, Clearwater",3801,2852,704
"Idaho, Custer",2414,1777,427
"Idaho, Elmore",8522,5816,1814
"Idaho, Franklin",5499,3901,385
"Idaho, Fremont",5715,4090,651
"Idaho, Gem",7954,5980,1229
"Idaho, Gooding",5191,3743,930
"Idaho, Idaho",8233,6441,1196
"Idaho, Jefferson",11475,8436,976
"Idaho, Jerome",6751,4644,1329
"Idaho, Kootenai",66310,44449,16264
"Idaho, Latah",18173,7265,8093
"Idaho, Lemhi",4096,3011,733
"Idaho, Lewis",1590,1202,270
"Idaho, Lincoln",1748,1184,360
"Idaho, Madison",15688,8941,1201
"Idaho, Minidoka",6871,4887,1167
"Idaho, Nez Perce",17201,10699,4828
"Idaho, Oneida",2068,1531,184
"Idaho, Owyhee",3925,3052,591
"Idaho, Payette",8704,6489,1507
"Idaho, Power",2758,1666,699
"Idaho, Shoshone",5120,3297,1384
"Idaho, Teton",4976,2167,2159
"Idaho, Twin Falls",29874,19828,6233
"Idaho, Valley",5349,2906,1913
"Idaho, Washington",4455,3283,776
"Illinois, Adams",31951,22790,7676
"Illinois, Alexander",2846,1496,1262
"Illinois, Bond",7530,4888,2068
"Illinois, Boone",23001,12282,8986
"Illinois, Brown",2379,1796,476
"Illinois, Bureau",16571,9281,6029
"Illinois, Calhoun",2571,1721,739
"Illinois, Carroll",7445,4434,2447
"Illinois, Cass",5124,3216,1621
"Illinois, Champaign",91628,33368,50137
"Illinois, Christian",15459,10543,3992
"Illinois, Clark",7928,5622,1877
"Illinois, Clay",6350,5021,1020
"Illinois, Clinton",17419,12412,3945
"Illinois, Coles",21863,13003,7309
"Illinois, Cook",2158615,453287,1611946
"Illinois, Crawford",8728,6277,1992
"Illinois, Cumberland",5567,4206,1031
"Illinois, De Witt",7543,5077,1910
"Illinois, DeKalb",43600,19091,20466
"Illinois, Douglas",8169,5698,1949
"Illinois, DuPage",428769,166415,228622
"Illinois, Edgar",7873,5645,1793
"Illinois, Edwards",3347,2778,434
"Illinois, Effingham",17609,13635,3083
"Illinois, Fayette",9585,7372,1819
"Illinois, Ford",6396,4480,1414
"Illinois, Franklin",18711,13116,4727
"Illinois, Fulton",15797,8492,6133
"Illinois, Gallatin",2707,1942,657
"Illinois, Greene",5585,4145,1205
"Illinois, Grundy",23237,13454,8065
"Illinois, Hamilton",4166,3206,802
"Illinois, Hancock",9121,6430,2139
"Illinois, Hardin",2148,1653,420
"Illinois, Henderson",3518,2155,1155
"Illinois, Henry",24643,13985,8871
"Illinois, Iroquois",13064,9750,2504
"Illinois, Jackson",24617,10843,11634
"Illinois, Jasper",5136,3975,924
"Illinois, Jefferson",16999,11695,4425
"Illinois, Jersey",10991,7748,2679
"Illinois, Jo Daviess",11334,6121,4462
"Illinois, Johnson",6089,4649,1142
"Illinois, Kane",199314,82734,103665
"Illinois, Kankakee",47305,25129,18971
"Illinois, Kendall",53447,24961,24884
"Illinois, Knox",22243,10737,10083
"Illinois, LaSalle",49743,26689,19543
"Illinois, Lake",303520,109767,171095
"Illinois, Lawrence",6094,4521,1290
"Illinois, Lee",15489,8612,5528
"Illinois, Livingston",15269,10208,4023
"Illinois, Logan",12401,8181,3313
"Illinois, Macon",48060,26866,18343
"Illinois, Macoupin",22360,14322,6689
"Illinois, Madison",130179,70490,50587
"Illinois, Marion",17074,11859,4369
"Illinois, Marshall",5984,3785,1789
"Illinois, Mason",6486,4058,2014
"Illinois, Massac",6683,4846,1558
"Illinois, McDonough",13092,6795,5288
"Illinois, McHenry",141750,71612,60803
"Illinois, McLean",79835,37237,36196
"Illinois, Menard",6515,4231,1817
"Illinois, Mercer",8525,4807,3071
"Illinois, Monroe",19354,12629,5535
"Illinois, Montgomery",12978,8630,3504
"Illinois, Morgan",14800,9076,4696
"Illinois, Moultrie",6283,4455,1481
"Illinois, Ogle",24193,14352,8050
"Illinois, Peoria",78503,35633,38060
"Illinois, Perry",9853,6855,2462
"Illinois, Piatt",9008,5634,2645
"Illinois, Pike",7530,5754,1413
"Illinois, Pope",2142,1678,375
"Illinois, Pulaski",2735,1675,962
"Illinois, Putnam",3111,1767,1147
"Illinois, Randolph",14194,10023,3439
"Illinois, Richland",7684,5739,1584
"Illinois, Rock Island",63994,26998,32298
"Illinois, Saline",11384,8276,2572
"Illinois, Sangamon",98373,49944,40907
"Illinois, Schuyler",3828,2524,1075
"Illinois, Scott",2608,1966,535
"Illinois, Shelby",11010,8229,2288
"Illinois, St. Clair",120580,53857,60756
"Illinois, Stark",2743,1778,751
"Illinois, Stephenson",20343,11083,7768
"Illinois, Tazewell",64400,38707,20685
"Illinois, Union",8537,5790,2402
"Illinois, Vermilion",30570,19087,10039
"Illinois, Wabash",5464,4047,1151
"Illinois, Warren",7807,4275,2987
"Illinois, Washington",7427,5571,1448
"Illinois, Wayne",8261,6967,1048
"Illinois, White",7335,5640,1412
"Illinois, Whiteside",25582,12615,11035
"Illinois, Will",300904,132720,151927
"Illinois, Williamson",31852,21570,8581
"Illinois, Winnebago",118376,55624,55713
"Illinois, Woodford",19864,13207,5092
"Indiana, Adams",13090,9648,2805
"Indiana, Allen",147137,83930,55382
"Indiana, Bartholomew",32490,20640,9841
"Indiana, Benton",3666,2579,860
"Indiana, Blackford",4839,3350,1243
"Indiana, Boone",32178,19654,10181
"Indiana, Brown",7945,5016,2518
"Indiana, Carroll",8643,6273,1892
"Indiana, Cass",14209,9701,3759
"Indiana, Clark",51147,30035,18808
"Indiana, Clay",11282,8531,2306
"Indiana, Clinton",11936,8531,2819
"Indiana, Crawford",4593,3015,1323
"Indiana, Daviess",10768,8545,1800
"Indiana, DeKalb",16902,12054,3942
"Indiana, Dearborn",23987,18113,4883
"Indiana, Decatur",11127,8490,2121
"Indiana, Delaware",45123,24263,18153
"Indiana, Dubois",19984,13365,5389
"Indiana, Elkhart",65630,41867,20740
"Indiana, Fayette",9530,6839,2252
"Indiana, Floyd",37425,21432,13945
"Indiana, Fountain",7492,5662,1476
"Indiana, Franklin",11013,8669,1969
"Indiana, Fulton",8374,6010,1960
"Indiana, Gibson",15484,11081,3721
"Indiana, Grant",25312,17008,7010
"Indiana, Greene",13801,10277,2929
"Indiana, Hamilton",154256,87404,57263
"Indiana, Hancock",36181,25074,8904
"Indiana, Harrison",18558,12943,4783
"Indiana, Hendricks",75559,48337,22600
"Indiana, Henry",20155,13895,5124
"Indiana, Howard",36843,23675,11215
"Indiana, Huntington",16043,11649,3506
"Indiana, Jackson",17573,12859,3843
"Indiana, Jasper",13378,9382,3329
"Indiana, Jay",7986,5697,1889
