Location,2012,total_votes,2012_democrat_votes,2012_republican_votes
"California, Kern","853,606",221472,89495.0,126618.0
"California, Kings","150,991",31418,12979.0,17671.0
"California, Lake","63,954",23391,13163.0,9200.0
"California, Lassen","33,629",10683,3053.0,7296.0
"California, Los Angeles","9,935,375",3181067,2216903.0,885333.0
"California, Madera","151,527",39866,16018.0,22852.0
"California, Marin","256,061",134516,99896.0,30880.0
"California, Mariposa","17,881",9000,3498.0,5140.0
"California, Mendocino","87,288",35017,23193.0,9658.0
"California, Merced","260,867",62057,33005.0,27581.0
"California, Modoc","9,351",3986,1111.0,2777.0
"California, Mono","14,331",5181,2733.0,2285.0
"California, Monterey","424,788",123518,82920.0,37390.0
"California, Napa","138,538",56968,35870.0,19526.0
"California, Nevada","98,137",51676,24663.0,24986.0
"California, Orange","3,078,068",1122664,512440.0,582332.0
"California, Placer","360,263",171322,66818.0,99921.0
"California, Plumas","19,377",10047,4026.0,5721.0
"California, Riverside","2,261,204",661907,329063.0,318127.0
"California, Sacramento","1,444,852",516809,300503.0,202514.0
"California, San Benito","56,599",19044,11276.0,7343.0
"California, San Bernardino","2,073,512",581517,305109.0,262358.0
"California, San Diego","3,174,335",1192282,626957.0,536726.0
"California, San Francisco","828,876",361209,301723.0,47076.0
"California, San Joaquin","699,593",204697,114121.0,86071.0
"California, San Luis Obispo","274,160",125638,61258.0,59967.0
"California, San Mateo","739,224",285720,206085.0,72756.0
"California, Santa Barbara","429,699",163320,94129.0,64606.0
"California, Santa Clara","1,837,853",643091,450818.0,174843.0
"California, Santa Cruz","266,340",120095,90805.0,24047.0
"California, Shasta","177,875",76335,25819.0,48067.0
"California, Sierra","3,067",1795,653.0,1056.0
"California, Siskiyou","44,079",19910,8046.0,11077.0
"California, Solano","419,674",152444,96783.0,52092.0
"California, Sonoma","489,993",216508,153942.0,54784.0
"California, Stanislaus","520,424",155369,77724.0,73459.0
"California, Sutter","94,189",31026,12192.0,18122.0
"California, Tehama","63,212",22977,7934.0,14235.0
"California, Trinity","13,489",5674,2674.0,2716.0
"California, Tulare","449,779",101100,41752.0,56956.0
"California, Tuolumne","54,221",24687,9998.0,13880.0
"California, Ventura","833,516",326974,170929.0,147958.0
"California, Yolo","204,576",74475,48715.0,23368.0
"California, Yuba","72,774",19700,7711.0,11275.0
"Colorado, Adams","460,558",176230,100649.0,70972.0
"Colorado, Alamosa","15,680",6715,3811.0,2705.0
"Colorado, Arapahoe","596,500",285516,153905.0,125588.0
"Colorado, Archuleta","12,132",6734,2679.0,3872.0
"Colorado, Baca","3,722",2106,467.0,1559.0
"Colorado, Bent","5,848",1942,815.0,1075.0
"Colorado, Boulder","304,570",179499,125091.0,49981.0
"Colorado, Broomfield","58,971",32777,16966.0,15008.0
"Colorado, Chaffee","18,154",10462,5086.0,5070.0
"Colorado, Cheyenne","1,872",1093,172.0,889.0
"Colorado, Clear Creek","9,018",5743,3119.0,2430.0
"Colorado, Conejos","8,248",4101,2213.0,1835.0
"Colorado, Costilla","3,603",1837,1340.0,446.0
"Colorado, Crowley","5,467",1502,535.0,924.0
"Colorado, Custer","4,219",2715,868.0,1788.0
"Colorado, Delta","30,465",15925,4622.0,10915.0
"Colorado, Denver","635,163",301694,222018.0,73111.0
"Colorado, Dolores","2,009",1245,334.0,859.0
"Colorado, Douglas","298,708",167781,60991.0,104204.0
"Colorado, Eagle","52,334",22668,12792.0,9411.0
"Colorado, Elbert","23,274",14178,3603.0,10266.0
"Colorado, El Paso","646,003",290175,111819.0,170952.0
"Colorado, Fremont","47,052",20416,6704.0,13174.0
"Colorado, Garfield","56,761",24408,11305.0,12535.0
"Colorado, Gilpin","5,431",3338,1892.0,1346.0
"Colorado, Grand","14,221",8187,3684.0,4253.0
"Colorado, Gunnison","15,378",8667,5044.0,3341.0
"Colorado, Hinsdale",802,600,229.0,353.0
"Colorado, Huerfano","6,565",3714,1953.0,1646.0
"Colorado, Jackson","1,325",848,216.0,600.0
"Colorado, Jefferson","546,602",311052,159296.0,144197.0
"Colorado, Kiowa","1,409",821,118.0,677.0
"Colorado, Kit Carson","8,072",3702,838.0,2785.0
"Colorado, Lake","7,253",3040,1839.0,1098.0
"Colorado, La Plata","52,451",29184,15489.0,12794.0
"Colorado, Larimer","310,842",180180,92747.0,82376.0
"Colorado, Las Animas","14,992",6862,3445.0,3263.0
"Colorado, Lincoln","5,440",2287,552.0,1687.0
"Colorado, Logan","22,356",9124,2712.0,6179.0
"Colorado, Mesa","147,317",72947,23846.0,47472.0
"Colorado, Mineral",719,650,291.0,344.0
"Colorado, Moffat","13,171",6168,1330.0,4695.0
"Colorado, Montezuma","25,476",12318,4542.0,7401.0
"Colorado, Montrose","40,650",20130,6138.0,13552.0
"Colorado, Morgan","28,248",10777,3912.0,6602.0
"Colorado, Otero","18,634",8192,3647.0,4382.0
"Colorado, Ouray","4,507",3202,1646.0,1481.0
"Colorado, Park","16,049",9366,3862.0,5236.0
"Colorado, Phillips","4,417",2265,588.0,1637.0
"Colorado, Pitkin","17,292",10075,6849.0,3024.0
"Colorado, Prowers","12,421",4863,1519.0,3230.0
"Colorado, Pueblo","160,721",76194,42551.0,31894.0
"Colorado, Rio Blanco","6,758",3369,568.0,2724.0
"Colorado, Rio Grande","11,866",5533,2478.0,2918.0
"Colorado, Routt","23,272",13317,7547.0,5469.0
"Colorado, Saguache","6,333",2930,1864.0,964.0
"Colorado, San Juan",692,506,266.0,212.0
"Colorado, San Miguel","7,581",4256,2992.0,1154.0
"Colorado, Sedgwick","2,378",1338,419.0,881.0
"Colorado, Summit","28,298",15312,9347.0,5571.0
"Colorado, Teller","23,445",13407,4333.0,8702.0
"Colorado, Washington","4,701",2591,468.0,2076.0
"Colorado, Weld","264,131",115866,49050.0,63775.0
"Colorado, Yuma","10,100",4577,987.0,3490.0
"Connecticut, Fairfield","935,099",396130,217294.0,175168.0
"Connecticut, Hartford","897,706",392240,244639.0,143238.0
"Connecticut, Litchfield","187,570",92427,43856.0,47201.0
"Connecticut, Middlesex","165,634",83538,47855.0,34591.0
"Connecticut, New Haven","864,566",361026,218972.0,138357.0
"Connecticut, New London","274,091",115102,67144.0,46119.0
"Connecticut, Tolland","151,967",46588,25957.0,19768.0
"Connecticut, Windham","117,914",46494,25957.0,19768.0
"Delaware, Kent","167,297",68696,35527.0,32135.0
"Delaware, New Castle","544,848",252012,167082.0,81230.0
"Delaware, Sussex","203,034",93229,39975.0,52119.0
"District of Columbia, District of Columbia","634,924",293764,267070.0,21381.0
"Florida, Alachua","251,520",120418,69699.0,48797.0
"Florida, Baker","27,053",11368,2311.0,8975.0
"Florida, Bay","171,757",79861,22051.0,56876.0
"Florida, Bradford","27,051",11635,3325.0,8219.0
"Florida, Brevard","546,966",285559,122993.0,159300.0
"Florida, Broward","1,814,253",756422,508312.0,244101.0
"Florida, Calhoun","14,665",6152,1664.0,4366.0
"Florida, Charlotte","162,744",84682,35906.0,47996.0
"Florida, Citrus","139,180",73935,28460.0,44662.0
"Florida, Clay","193,861",96589,25759.0,70022.0
"Florida, Collier","332,233",149112,51698.0,96520.0
"Florida, Columbia","67,884",27163,8462.0,18429.0
"Florida, Dixie","16,153",6941,1798.0,5052.0
"Florida, Duval","880,108",411848,196737.0,211615.0
"Florida, Escambia","303,423",148502,58185.0,88711.0
"Florida, Flagler","98,434",50595,23207.0,26969.0
"Florida, Franklin","11,612",5474,1845.0,3570.0
"Florida, Gadsden","46,574",22499,15770.0,6630.0
